customer_key,customer_id,company_name,segment,industry,company_size,signup_date
1,CUST00001,"Wilson, Steele and Fry",MidMarket,Manufacturing,Large,2026-05-04
2,CUST00002,Mccormick LLC,SMB,Manufacturing,Small,2023-08-20
3,CUST00003,Stewart-Webb,Enterprise,Retail,Large,2021-12-02
4,CUST00004,Ramirez-Hernandez,Enterprise,Manufacturing,Large,2025-12-31
5,CUST00005,Griffin Inc,Enterprise,Healthcare,Medium,2022-07-05
6,CUST00006,Acevedo-Peters,MidMarket,Finance,Small,2025-02-23
7,CUST00007,"Olson, Diaz and Mathews",SMB,Healthcare,Medium,2025-01-02
8,CUST00008,Rogers-Guzman,Enterprise,Technology,Small,2026-02-04
9,CUST00009,"Smith, Walker and Maldonado",MidMarket,Healthcare,Large,2025-06-11
10,CUST00010,Hayes-Reid,MidMarket,Education,Large,2026-03-27
11,CUST00011,Bailey-Curry,MidMarket,Finance,Small,2025-11-06
12,CUST00012,"Hutchinson, Gray and Mays",Enterprise,Retail,Large,2021-10-13
13,CUST00013,Cummings-Burton,Enterprise,Healthcare,Small,2026-03-11
14,CUST00014,Campbell PLC,SMB,Healthcare,Medium,2022-10-25
15,CUST00015,Walter-Oneill,MidMarket,Manufacturing,Medium,2025-11-20
16,CUST00016,Hanson-Castro,SMB,Finance,Large,2021-08-13
17,CUST00017,"Moore, Flowers and Brown",SMB,Retail,Medium,2021-07-26
18,CUST00018,Freeman LLC,MidMarket,Healthcare,Medium,2024-05-27
19,CUST00019,Lopez-Martinez,MidMarket,Education,Medium,2025-03-25
20,CUST00020,"Allison, Smith and Davis",SMB,Manufacturing,Large,2023-01-27
21,CUST00021,"Ali, Wright and Faulkner",SMB,Finance,Medium,2024-09-18
22,CUST00022,"Blanchard, Rogers and Hines",MidMarket,Finance,Medium,2025-09-06
23,CUST00023,"Johnson, Ray and Stone",SMB,Education,Large,2023-03-20
24,CUST00024,"Fox, Santiago and Rhodes",MidMarket,Education,Small,2023-01-07
25,CUST00025,"Murphy, Rodriguez and Martin",MidMarket,Healthcare,Large,2024-07-19
26,CUST00026,Gonzalez-Williams,SMB,Healthcare,Small,2022-07-11
27,CUST00027,Gilmore-Oneill,MidMarket,Finance,Small,2021-09-04
28,CUST00028,"Williams, Floyd and James",Enterprise,Manufacturing,Small,2024-04-01
29,CUST00029,"Kelley, Foster and Thompson",Enterprise,Technology,Small,2023-01-24
30,CUST00030,"Smith, Mcclure and Murray",Enterprise,Retail,Large,2025-02-17
31,CUST00031,Hester LLC,SMB,Retail,Large,2023-12-25
32,CUST00032,"Cole, Wiley and Nelson",SMB,Manufacturing,Medium,2023-08-16
33,CUST00033,Day Ltd,MidMarket,Technology,Large,2021-12-20
34,CUST00034,Williams-Tucker,SMB,Finance,Medium,2025-11-12
35,CUST00035,Krueger-Jones,Enterprise,Education,Small,2025-09-23
36,CUST00036,Reyes Inc,SMB,Education,Large,2022-06-30
37,CUST00037,Hall Group,SMB,Retail,Small,2023-12-18
38,CUST00038,Hood-Hammond,SMB,Retail,Small,2023-07-11
39,CUST00039,"Turner, Garcia and Espinoza",SMB,Education,Large,2021-11-15
40,CUST00040,Rodriguez-Welch,Enterprise,Healthcare,Medium,2025-07-06
41,CUST00041,"Wallace, White and Frazier",MidMarket,Retail,Large,2025-11-06
42,CUST00042,"Reed, Jones and Johnson",SMB,Technology,Small,2024-03-05
43,CUST00043,"Castillo, Bernard and Lopez",MidMarket,Education,Small,2025-02-18
44,CUST00044,Russell-Collins,MidMarket,Manufacturing,Large,2025-11-17
45,CUST00045,Briggs Ltd,SMB,Finance,Small,2025-05-02
46,CUST00046,Miranda LLC,Enterprise,Retail,Large,2024-12-11
47,CUST00047,Callahan-Smith,Enterprise,Healthcare,Medium,2025-09-17
48,CUST00048,"Lopez, Smith and Snow",SMB,Technology,Small,2023-08-01
49,CUST00049,Ball LLC,SMB,Finance,Medium,2022-09-28
50,CUST00050,Roberts-Long,SMB,Healthcare,Large,2022-09-26
51,CUST00051,"Young, Lopez and Scott",SMB,Education,Small,2023-06-16
52,CUST00052,Ray-Boyle,MidMarket,Retail,Medium,2025-01-22
53,CUST00053,Pruitt LLC,Enterprise,Manufacturing,Small,2021-12-29
54,CUST00054,"Caldwell, Evans and Spencer",MidMarket,Education,Large,2023-07-18
55,CUST00055,"Obrien, Drake and Faulkner",MidMarket,Manufacturing,Small,2021-12-10
56,CUST00056,"Caldwell, Lewis and Berry",Enterprise,Finance,Large,2026-02-22
57,CUST00057,"Hall, Schultz and Rogers",Enterprise,Technology,Small,2023-09-30
58,CUST00058,Perez Ltd,Enterprise,Healthcare,Medium,2026-01-27
59,CUST00059,Fernandez LLC,SMB,Retail,Small,2025-03-18
60,CUST00060,Howard Group,Enterprise,Technology,Large,2023-05-30
61,CUST00061,Harvey Ltd,SMB,Healthcare,Medium,2025-04-19
62,CUST00062,"Fowler, Brandt and Townsend",Enterprise,Technology,Small,2023-11-20
63,CUST00063,Dickson Inc,MidMarket,Healthcare,Small,2025-11-12
64,CUST00064,"Blankenship, Walker and Wood",MidMarket,Education,Large,2022-08-13
65,CUST00065,Cruz PLC,SMB,Retail,Large,2024-09-08
66,CUST00066,Berry Ltd,MidMarket,Education,Small,2024-05-27
67,CUST00067,Hall-Smith,SMB,Education,Medium,2026-03-29
68,CUST00068,"Adams, Blackwell and Burnett",MidMarket,Technology,Small,2025-05-25
69,CUST00069,James and Sons,MidMarket,Education,Small,2022-03-22
70,CUST00070,"Mcdonald, Gutierrez and Jones",SMB,Finance,Large,2022-05-28
71,CUST00071,"Lopez, Hahn and Mitchell",MidMarket,Healthcare,Large,2024-02-18
72,CUST00072,"Moreno, Beck and Black",SMB,Finance,Large,2021-08-17
73,CUST00073,Peck PLC,Enterprise,Technology,Large,2023-11-05
74,CUST00074,Hess-Johnson,SMB,Technology,Large,2022-07-21
75,CUST00075,Gutierrez-Adams,MidMarket,Technology,Medium,2024-01-01
76,CUST00076,Foster and Sons,SMB,Education,Medium,2024-10-04
77,CUST00077,Walters Inc,MidMarket,Finance,Medium,2022-12-17
78,CUST00078,Barron Inc,SMB,Finance,Small,2022-07-09
79,CUST00079,"Anderson, Walker and Matthews",MidMarket,Education,Small,2022-03-24
80,CUST00080,"Gordon, Young and Ramirez",SMB,Retail,Large,2025-07-04
81,CUST00081,"Ramirez, Anderson and Snyder",MidMarket,Retail,Large,2024-11-23
82,CUST00082,Smith-Simon,SMB,Retail,Medium,2022-01-13
83,CUST00083,Berry Inc,SMB,Finance,Large,2024-05-23
84,CUST00084,"Cook, Sandoval and Martinez",SMB,Finance,Medium,2022-01-28
85,CUST00085,Smith-Smith,SMB,Education,Large,2022-07-13
86,CUST00086,Christian Inc,MidMarket,Technology,Large,2021-08-30
87,CUST00087,"Gill, Christensen and Osborn",SMB,Healthcare,Medium,2025-11-20
88,CUST00088,Edwards-Johnson,MidMarket,Education,Large,2023-10-22
89,CUST00089,"Thomas, Johnson and Phillips",SMB,Technology,Small,2025-04-14
90,CUST00090,"Hernandez, Aguirre and Cisneros",Enterprise,Education,Small,2024-03-11
91,CUST00091,"Horton, Maynard and Howard",Enterprise,Retail,Small,2021-08-07
92,CUST00092,"Nguyen, Lewis and Rivera",MidMarket,Finance,Large,2023-11-12
