activity_key,report_month,customer_id,product_id,region_id,revenue,transactions,active_flag,retained_flag,expansion_revenue,churn_revenue,customer_key,product_key,region_key
1,2024-01,CUST03841,PROD025,R01,1312,24,1,1,255.62,41.21,3841,25,1
2,2024-01,CUST01250,PROD005,R08,10990,21,1,1,1850.8,395.82,1250,5,8
3,2024-01,CUST04399,PROD023,R02,1757,11,1,1,81.58,38.36,4399,23,2
4,2024-01,CUST01564,PROD018,R11,6505,17,1,1,87.13,282.16,1564,18,11
5,2024-01,CUST03890,PROD001,R08,20937,4,1,1,1578.8,951.77,3890,1,8
6,2024-01,CUST03350,PROD008,R03,21544,24,1,0,2328.16,760.08,3350,8,3
7,2024-01,CUST02427,PROD007,R06,13223,10,1,1,1610.88,4.29,2427,7,6
8,2024-01,CUST01835,PROD011,R02,2908,9,1,1,13.0,117.59,1835,11,2
9,2024-01,CUST01458,PROD003,R11,5059,5,1,1,971.01,25.3,1458,3,11
10,2024-01,CUST03857,PROD023,R06,1837,19,0,1,294.34,24.3,3857,23,6
11,2024-01,CUST04135,PROD020,R01,1112,4,1,0,150.79,22.64,4135,20,1
12,2024-01,CUST01900,PROD021,R06,3039,12,1,1,183.0,16.66,1900,21,6
13,2024-01,CUST02719,PROD023,R01,1874,16,1,1,108.46,57.59,2719,23,1
14,2024-01,CUST02684,PROD021,R09,1520,20,0,1,259.87,0.02,2684,21,9
15,2024-01,CUST01227,PROD006,R08,9988,22,1,1,1896.09,174.13,1227,6,8
16,2024-01,CUST03605,PROD011,R10,4339,22,1,1,570.06,161.56,3605,11,10
17,2024-01,CUST04455,PROD005,R05,904,3,1,1,125.86,11.06,4455,5,5
18,2024-01,CUST01001,PROD024,R01,2563,4,1,1,86.93,110.57,1001,24,1
19,2024-01,CUST04580,PROD014,R06,1524,24,0,1,285.43,29.89,4580,14,6
20,2024-01,CUST04004,PROD013,R05,568,2,1,1,106.09,1.06,4004,13,5
21,2024-01,CUST03271,PROD003,R10,2193,3,1,1,46.45,67.89,3271,3,10
22,2024-01,CUST00267,PROD014,R07,865,18,1,1,117.49,21.26,267,14,7
23,2024-01,CUST03044,PROD018,R11,7168,8,1,1,254.64,57.05,3044,18,11
24,2024-01,CUST01761,PROD012,R06,490,2,1,1,31.8,21.0,1761,12,6
25,2024-01,CUST01707,PROD025,R10,2555,4,1,1,199.58,14.0,1707,25,10
26,2024-01,CUST03268,PROD018,R04,1764,2,1,1,32.78,5.57,3268,18,4
27,2024-01,CUST01298,PROD007,R03,1769,24,1,1,248.27,38.83,1298,7,3
28,2024-01,CUST04983,PROD025,R09,15007,20,1,1,2667.43,285.56,4983,25,9
29,2024-01,CUST02968,PROD012,R04,5599,15,1,1,75.23,70.75,2968,12,4
30,2024-01,CUST00151,PROD003,R03,1822,20,1,1,322.04,62.5,151,3,3
31,2024-01,CUST03860,PROD012,R05,6616,10,1,1,447.39,320.13,3860,12,5
32,2024-01,CUST00893,PROD003,R12,3551,17,1,1,206.99,29.26,893,3,12
33,2024-01,CUST03410,PROD022,R02,906,20,1,1,74.95,16.91,3410,22,2
34,2024-01,CUST01023,PROD009,R09,753,24,1,1,116.03,8.7,1023,9,9
35,2024-01,CUST04093,PROD023,R08,8627,21,1,1,22.12,410.06,4093,23,8
36,2024-01,CUST01103,PROD013,R09,2348,7,1,1,264.13,14.53,1103,13,9
37,2024-01,CUST03436,PROD004,R12,5237,5,1,1,504.52,138.59,3436,4,12
38,2024-01,CUST00386,PROD015,R03,2407,8,1,1,114.9,23.98,386,15,3
39,2024-01,CUST01969,PROD010,R02,1076,13,1,1,142.28,37.42,1969,10,2
40,2024-01,CUST03837,PROD009,R09,659,5,1,1,112.79,28.82,3837,9,9
41,2024-01,CUST02236,PROD009,R01,1158,18,1,1,49.17,4.32,2236,9,1
42,2024-01,CUST00493,PROD021,R11,2033,8,1,1,49.89,3.79,493,21,11
43,2024-01,CUST03262,PROD018,R06,1059,22,0,1,111.56,44.92,3262,18,6
44,2024-01,CUST04234,PROD013,R07,2649,10,1,1,520.14,96.82,4234,13,7
45,2024-01,CUST04316,PROD012,R02,421,1,1,1,57.59,20.28,4316,12,2
46,2024-01,CUST03032,PROD019,R01,8452,24,1,1,459.11,61.51,3032,19,1
47,2024-01,CUST04660,PROD002,R06,1551,3,1,1,259.15,48.04,4660,2,6
48,2024-01,CUST04472,PROD005,R10,23135,17,1,1,3618.61,202.8,4472,5,10
49,2024-01,CUST02192,PROD012,R05,6971,16,1,1,324.33,218.36,2192,12,5
50,2024-01,CUST04619,PROD001,R10,8997,23,1,1,768.79,404.58,4619,1,10
51,2024-01,CUST01729,PROD020,R01,1956,11,1,1,69.92,35.53,1729,20,1
52,2024-01,CUST01464,PROD005,R08,1521,20,1,0,113.45,44.48,1464,5,8
53,2024-01,CUST00686,PROD009,R05,436,2,1,1,78.75,1.54,686,9,5
54,2024-01,CUST00513,PROD022,R04,1891,23,1,1,253.52,85.2,513,22,4
55,2024-01,CUST03986,PROD009,R09,8650,2,1,0,1492.28,123.5,3986,9,9
56,2024-01,CUST04200,PROD001,R09,1894,20,1,1,62.27,26.91,4200,1,9
57,2024-01,CUST04525,PROD013,R09,8641,14,1,1,1206.56,252.35,4525,13,9
58,2024-01,CUST04825,PROD001,R12,3326,20,1,1,251.11,52.73,4825,1,12
59,2024-01,CUST04482,PROD009,R10,2527,24,1,1,332.05,95.66,4482,9,10
60,2024-01,CUST01728,PROD017,R02,3388,1,1,1,92.87,97.02,1728,17,2
61,2024-01,CUST04373,PROD016,R05,2656,12,1,1,486.68,60.78,4373,16,5
62,2024-01,CUST02502,PROD019,R08,15101,3,1,1,273.59,266.59,2502,19,8
63,2024-01,CUST04733,PROD007,R02,1292,20,1,1,207.09,46.58,4733,7,2
64,2024-01,CUST01903,PROD010,R06,2355,10,1,1,167.94,91.17,1903,10,6
65,2024-01,CUST04484,PROD005,R07,422,4,1,1,34.18,2.18,4484,5,7
66,2024-01,CUST04624,PROD009,R01,4510,12,1,1,175.49,189.7,4624,9,1
67,2024-01,CUST04033,PROD021,R04,4446,2,1,1,85.95,74.5,4033,21,4
68,2024-01,CUST00756,PROD019,R07,7436,10,1,1,163.54,99.17,756,19,7
69,2024-01,CUST02497,PROD006,R04,818,2,1,1,81.57,24.89,2497,6,4
70,2024-01,CUST03571,PROD020,R04,2336,17,1,1,171.05,51.14,3571,20,4
